# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
258403,1,1,12000,HLT_PFJet140_v3/4,ONE,L1_SingleJet92/3000
258403,9,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
258403,18,1,12000,HLT_PFJet140_v3/4,ONE,L1_SingleJet92/3000
258403,19,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
258423,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
258425,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
258427,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
258428,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
258703,1,4,1500,HLT_PFJet140_v3/1,ONE,L1_SingleJet92/1500
258703,262,5,800,HLT_PFJet140_v3/1,ONE,L1_SingleJet92/800
260583,1,1,3000,HLT_PFJet140_v4/1,ONE,L1_SingleJet92/3000
260583,3,4,700,HLT_PFJet140_v4/1,ONE,L1_SingleJet92/700
254230,1,1,1000,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/1000
254230,21,11,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
254232,1,11,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
256629,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
256630,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
256672,1,1,12000,HLT_PFJet140_v3/4,ONE,L1_SingleJet92/3000
256672,7,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
256673,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
251522,1,6,2000,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/2000
251523,1,6,2000,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/2000
251559,1,10,0,HLT_PFJet140_v2/0,ONE,L1_SingleJet92/65537
251559,65,6,2000,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/2000
251560,1,6,2000,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/2000
251561,1,6,2000,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/2000
251612,1,10,0,HLT_PFJet140_v2/0,ONE,L1_SingleJet92/65537
251612,11,6,2000,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/2000
251636,1,10,65537,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/65537
251640,1,5,2000,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/2000
254293,1,10,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
254294,1,10,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
254308,1,11,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
254310,1,11,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
254362,1,9,100,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/100
257027,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
257397,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
257400,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
257824,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
258310,1,1,3000,HLT_PFJet140_v3/1,ONE,L1_SingleJet92/3000
272023,1,0,0,HLT_PFJet140_v4/2,ONE,L1_SingleJet90/0
251121,1,10,65537,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/65537
253947,1,11,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
253948,1,11,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
253950,1,11,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
253954,1,1,4000,HLT_PFJet140_v2/4,ONE,L1_SingleJet92/1000
253954,6,11,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
254226,18,11,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
254290,1,10,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
254292,1,10,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
254306,1,1,4000,HLT_PFJet140_v2/4,ONE,L1_SingleJet92/1000
254306,7,11,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
254306,10,1,4000,HLT_PFJet140_v2/4,ONE,L1_SingleJet92/1000
254306,11,11,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
254307,1,11,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
257805,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
259636,1,1,3000,HLT_PFJet140_v4/1,ONE,L1_SingleJet92/3000
259636,2,4,700,HLT_PFJet140_v4/1,ONE,L1_SingleJet92/700
259636,6,1,3000,HLT_PFJet140_v4/1,ONE,L1_SingleJet92/3000
259636,7,4,700,HLT_PFJet140_v4/1,ONE,L1_SingleJet92/700
259636,51,5,400,HLT_PFJet140_v4/1,ONE,L1_SingleJet92/400
259637,1,1,3000,HLT_PFJet140_v4/1,ONE,L1_SingleJet92/3000
259637,4,5,400,HLT_PFJet140_v4/1,ONE,L1_SingleJet92/400
259686,1,5,400,HLT_PFJet140_v4/1,ONE,L1_SingleJet92/400
259683,1,4,700,HLT_PFJet140_v4/1,ONE,L1_SingleJet92/700
259685,1,4,700,HLT_PFJet140_v4/1,ONE,L1_SingleJet92/700
259685,400,5,400,HLT_PFJet140_v4/1,ONE,L1_SingleJet92/400
259682,1,4,700,HLT_PFJet140_v4/1,ONE,L1_SingleJet92/700
